CONTACTID, LASTNAME, FULLNAME, PHONENUMBER, CONTACTSTATUS, TIMEZONE, SOURCE, PRIORITY, STATUS,DATE1, LNAME, CELL, FAx, DATE, Result,User1,User2,User3,User4,User6,User7,User8,User9,User10, Address, City, State, Zip, Ext, Alt Phone, Company, Website, Email, Lead Status,date2
7794, Autotest Albany,Autotest Albany,6177231818, New Lead - NCY,0, sports,1, ON,08-09-2008 12:18:50, Smith,1231231234,1231231235,08-10-2008, Exhausted,User1,User2,User3,User4,User6,User7,User8,User9,User10,123 Main Street, someplace, NW,31024,256,1232341245, Business America, www.google.com, notreal@icomeanon.com, dead,08-09-2008 12:18:50
7795, Alexandria, Alexandria,2166231313, New Lead - NCY,-5, sports,1, ON,08-09-2008 12:18:50, Smith,1231231234,1231231235,08-10-2008, Exhausted,User1,User2,User3,User4,User6,User7,User8,User9,User10,123 Main Street, someplace, NW,31024,256,1232341245, Business America, www.google.com, notreal@icomeanon.com, dead,08-09-2008 12:18:50
7796, Baltimore, Baltimore,4104841818, New Lead - NCY,-5, sports,1, ON,08-09-2008 12:18:50, Smith,1231231234,1231231235,08-10-2008, Exhausted,User1,User2,User3,User4,User6,User7,User8,User9,User10,123 Main Street, someplace, NW,31024,256,1232341245, Business America, www.google.com, notreal@icomeanon.com, dead,08-09-2008 12:18:50
7797, Birmingham, Birmingham,2059455544, New Lead - NCY,-6, sports,1, ON,08-09-2008 12:18:50, Smith,1231231234,1231231235,08-10-2008, Exhausted,User1,User2,User3,User4,User6,User7,User8,User9,User10,123 Main Street, someplace, NW,31024,256,1232341245, Business America, www.google.com, notreal@icomeanon.com, dead,08-09-2008 12:18:50
7798, Boston, Boston,6177231818, New Lead - NCY,-5, sports,1, ON,08-09-2008 12:18:50, Smith,1231231234,1231231235,08-10-2008, Exhausted,User1,User2,User3,User4,User6,User7,User8,User9,User10,123 Main Street, someplace, NW,31024,256,1232341245, Business America, www.google.com, notreal@icomeanon.com, dead,08-09-2008 12:18:50
7799, Buffalo, Buffalo,7168242525, New Lead - NCY,-5, sports,1, ON,08-09-2008 12:18:50, Smith,1231231234,1231231235,08-10-2008, Exhausted,User1,User2,User3,User4,User6,User7,User8,User9,User10,123 Main Street, someplace, NW,31024,256,1232341245, Business America, www.google.com, notreal@icomeanon.com, dead,08-09-2008 12:18:50
7800, Camden, Camden,6177231818, New Lead - NCY,0, sports,1, ON,08-09-2008 12:18:50, Smith,1231231234,1231231235,08-10-2008, Exhausted,User1,User2,User3,User4,User6,User7,User8,User9,User10,123 Main Street, someplace, NW,31024,256,1232341245, Business America, www.google.com, notreal@icomeanon.com, dead,08-09-2008 12:18:50
7801, Charlotte, Charlotte,7043421313, New Lead - NCY,-5, sports,1, ON,08-09-2008 12:18:50, Smith,1231231234,1231231235,08-10-2008, Exhausted,User1,User2,User3,User4,User6,User7,User8,User9,User10,123 Main Street, someplace, NW,31024,256,1232341245, Business America, www.google.com, notreal@icomeanon.com, dead,08-09-2008 12:18:50
7802, Charlseston, Charlseston,4104841818, New Lead - NCY,-5, sports,1, ON,08-09-2008 12:18:50, Smith,1231231234,1231231235,08-10-2008, Exhausted,User1,User2,User3,User4,User6,User7,User8,User9,User10,123 Main Street, someplace, NW,31024,256,1232341245, Business America, www.google.com, notreal@icomeanon.com, dead,08-09-2008 12:18:50
7803, Chicago, Chicago,3126091313, New Lead - NCY,-6, sports,1, ON,08-09-2008 12:18:50, Smith,1231231234,1231231235,08-10-2008, Exhausted,User1,User2,User3,User4,User6,User7,User8,User9,User10,123 Main Street, someplace, NW,31024,256,1232341245, Business America, www.google.com, notreal@icomeanon.com, dead,08-09-2008 12:18:50
7805, Cleveland, Cleveland,2166231313, New Lead - NCY,-5, sports,1, ON,08-09-2008 12:18:50, Smith,1231231234,1231231235,08-10-2008, Exhausted,User1,User2,User3,User4,User6,User7,User8,User9,User10,123 Main Street, someplace, NW,31024,256,1232341245, Business America, www.google.com, notreal@icomeanon.com, dead,08-09-2008 12:18:50
7806, Dallas, Dallas,2166231313, New Lead - NCY,-6, sports,1, ON,08-09-2008 12:18:50, Smith,1231231234,1231231235,08-10-2008, Exhausted,User1,User2,User3,User4,User6,User7,User8,User9,User10,123 Main Street, someplace, NW,31024,256,1232341245, Business America, www.google.com, notreal@icomeanon.com, dead,08-09-2008 12:18:50
7807, Dayton, Dayton,6177231818, New Lead - NCY,0, sports,1, ON,08-09-2008 12:18:50, Smith,1231231234,1231231235,08-10-2008, Exhausted,User1,User2,User3,User4,User6,User7,User8,User9,User10,123 Main Street, someplace, NW,31024,256,1232341245, Business America, www.google.com, notreal@icomeanon.com, dead,08-09-2008 12:18:50
7811, Greenville, Greenville,6177231818, New Lead - NCY,-5, sports,1, ON,08-09-2008 12:18:50, Smith,1231231234,1231231235,08-10-2008, Exhausted,User1,User2,User3,User4,User6,User7,User8,User9,User10,123 Main Street, someplace, NW,31024,256,1232341245, Business America, www.google.com, notreal@icomeanon.com, dead,08-09-2008 12:18:50
7813, Hartford, Hartford,4104841818, New Lead - NCY,0, sports,1, ON,08-09-2008 12:18:50, Smith,1231231234,1231231235,08-10-2008, Exhausted,User1,User2,User3,User4,User6,User7,User8,User9,User10,123 Main Street, someplace, NW,31024,256,1232341245, Business America, www.google.com, notreal@icomeanon.com, dead,08-09-2008 12:18:50
7814, Houston, Houston,7137741200, New Lead - NCY,-6, sports,1, ON,08-09-2008 12:18:50, Smith,1231231234,1231231235,08-10-2008, Exhausted,User1,User2,User3,User4,User6,User7,User8,User9,User10,123 Main Street, someplace, NW,31024,256,1232341245, Business America, www.google.com, notreal@icomeanon.com, dead,08-09-2008 12:18:50
7817, Autotest Knoxville,Autotest Knoxville,4104841818, New Lead - NCY,0, sports,1, ON,08-09-2008 12:18:50, Smith,1231231234,1231231235,08-10-2008, Exhausted,User1,User2,User3,User4,User6,User7,User8,User9,User10,123 Main Street, someplace, NW,31024,256,1232341245, Business America, www.google.com, notreal@icomeanon.com, dead,08-09-2008 12:18:50
